State,year,ev_station_count
AK,2014,1
AK,2015,2
AK,2017,4
AK,2018,7
AK,2019,4
AK,2020,15
AK,2021,9
AK,2022,12
AK,2023,4
AK,2024,4
AL,2014,3
AL,2015,11
AL,2016,7
AL,2017,21
AL,2018,12
AL,2019,13
AL,2020,32
AL,2021,29
AL,2022,104
AL,2023,110
AL,2024,102
AR,2014,2
AR,2015,4
AR,2016,2
AR,2017,17
AR,2018,10
AR,2019,17
AR,2020,12
AR,2021,42
AR,2022,74
AR,2023,108
AR,2024,34
AZ,2014,20
AZ,2015,40
AZ,2016,39
AZ,2017,28
AZ,2018,39
AZ,2019,64
AZ,2020,70
AZ,2021,303
AZ,2022,241
AZ,2023,240
AZ,2024,202
CA,2014,177
CA,2015,320
CA,2016,251
CA,2017,233
CA,2018,425
CA,2019,422
CA,2020,2432
CA,2021,5187
CA,2022,2387
CA,2023,2375
CA,2024,1746
CO,2014,32
CO,2015,49
CO,2016,44
CO,2017,76
CO,2018,95
CO,2019,108
CO,2020,215
CO,2021,479
CO,2022,389
CO,2023,451
CO,2024,282
CT,2014,36
CT,2015,39
CT,2016,64
CT,2017,17
CT,2018,29
CT,2019,36
CT,2020,35
CT,2021,49
CT,2022,125
CT,2023,384
CT,2024,314
DE,2014,3
DE,2015,3
DE,2017,11
DE,2018,4
DE,2019,5
DE,2020,19
DE,2021,50
DE,2022,34
DE,2023,53
DE,2024,46
FL,2014,26
FL,2015,87
FL,2016,80
FL,2017,163
FL,2018,172
FL,2019,192
FL,2020,258
FL,2021,555
FL,2022,661
FL,2023,603
FL,2024,594
GA,2014,25
GA,2015,52
GA,2016,64
GA,2017,68
GA,2018,106
GA,2019,79
GA,2020,179
GA,2021,460
GA,2022,264
GA,2023,357
GA,2024,313
HI,2014,6
HI,2015,12
HI,2016,7
HI,2017,16
HI,2018,5
HI,2019,19
HI,2020,28
HI,2021,67
HI,2022,42
HI,2023,34
HI,2024,41
IA,2014,6
IA,2015,7
IA,2016,11
IA,2017,13
IA,2018,15
IA,2019,22
IA,2020,39
IA,2021,73
IA,2022,69
IA,2023,69
IA,2024,87
ID,2014,3
ID,2015,11
ID,2016,15
ID,2017,12
ID,2018,3
ID,2019,14
ID,2020,12
ID,2021,16
ID,2022,23
ID,2023,39
ID,2024,46
IL,2014,24
IL,2015,39
IL,2016,38
IL,2017,55
IL,2018,61
IL,2019,77
IL,2020,116
IL,2021,249
IL,2022,212
IL,2023,230
IL,2024,225
IN,2014,6
IN,2015,12
IN,2016,17
IN,2017,18
IN,2018,36
IN,2019,27
IN,2020,22
IN,2021,70
IN,2022,111
IN,2023,141
IN,2024,139
KS,2014,15
KS,2015,16
KS,2016,31
KS,2017,25
KS,2018,12
KS,2019,30
KS,2020,10
KS,2021,196
KS,2022,45
KS,2023,77
KS,2024,57
KY,2014,1
KY,2015,6
KY,2016,11
KY,2017,21
KY,2018,14
KY,2019,17
KY,2020,26
KY,2021,50
KY,2022,49
KY,2023,58
KY,2024,64
LA,2014,3
LA,2015,8
LA,2016,10
LA,2017,20
LA,2018,13
LA,2019,8
LA,2020,13
LA,2021,15
LA,2022,50
LA,2023,69
LA,2024,56
MA,2014,18
MA,2015,35
MA,2016,23
MA,2017,16
MA,2018,61
MA,2019,122
MA,2020,339
MA,2021,977
MA,2022,528
MA,2023,558
MA,2024,568
MD,2014,21
MD,2015,55
MD,2016,67
MD,2017,60
MD,2018,100
MD,2019,94
MD,2020,133
MD,2021,307
MD,2022,277
