State,year,ev_station_count,Carbon monoxide,Ozone,PM2.5 - Local Conditions
DE,2014,3,0.236395,0.0447164642857142,8.982317009708739
DE,2015,3,,0.0464737142857142,8.858046475728155
DE,2017,11,,0.0436031071428571,7.3797353125
DE,2018,4,,0.0420492499999999,7.206687935828877
DE,2019,5,,0.0447518571428571,7.271205037500001
DE,2020,19,,0.0400258214285714,6.781197492957746
DE,2021,50,,0.0425933571428571,7.557150422535211
DE,2022,34,,0.0434089285714285,6.615159666666666
DE,2023,53,,0.0455308888888888,8.7552841292517
FL,2014,26,0.2364627083333333,0.0397487161016949,6.930956418181819
FL,2015,87,,0.0371686313559322,6.514762507204611
FL,2016,80,,0.0389742456896551,6.802039223463686
FL,2017,163,,0.0382306465517241,7.643005149253731
FL,2018,172,,0.0375604396551724,6.951623632458234
FL,2019,192,,0.0381287327586206,6.899000329931972
FL,2020,258,,0.0358088940677966,7.369338468
FL,2021,555,,0.0364862118644067,7.101623635208711
FL,2022,661,,0.0378215948275862,7.029707592105264
FL,2023,603,,0.039771197368421,7.161842462462462
GA,2014,25,0.370226875,0.0427374047619047,10.184179805653711
GA,2015,52,,0.0413013333333333,9.051912568376068
GA,2016,64,,0.0456346666666666,8.988670623931624
GA,2017,68,,0.0414657875,8.898808696
GA,2018,106,,0.0410003289473684,8.023554505263158
GA,2019,79,,0.0438657105263157,8.835837356294537
GA,2020,179,,0.036586447368421,8.148372927318295
GA,2021,460,,0.0396656710526315,9.42673001145038
GA,2022,264,,0.0410044736842105,8.658978453860641
GA,2023,357,,0.0441753552631579,9.86237264994426
HI,2014,6,0.3524686666666667,0.027880625,6.3895526785714285
HI,2015,12,,0.028887125,6.758572217213115
HI,2016,7,,0.0298615,7.880335008196722
HI,2017,16,,0.029986625,6.1654801106557375
HI,2018,5,,0.02999975,5.809691312267658
HI,2019,19,,0.028967375,2.5659389516728623
HI,2020,28,,0.026593125,2.708745653429603
HI,2021,67,,0.027706,2.949029755319149
HI,2022,42,,0.02731175,3.4293440324074074
HI,2023,34,,0.027460375,3.2905970185185187
IA,2014,6,0.2077086666666666,0.0408752583333333,9.469511384615386
IA,2015,7,,0.04088355,8.434786461538462
IA,2016,11,,0.0400194916666666,7.421844212389381
IA,2017,13,,0.041269475,7.345507151020408
IA,2018,15,,0.0409914583333333,8.112184843049327
IA,2019,22,,0.04005925,7.882077796116505
IA,2020,39,,0.0383350624999999,7.989864935064936
IA,2021,73,,0.0417120520833333,8.456910574660634
IA,2022,69,,0.0411502604166666,7.511652555555556
IA,2023,69,,0.0464777604166666,10.161942920110192
ID,2014,3,0.281292,0.0496466666666666,9.8837690989011
ID,2015,11,,0.0489046,8.880996186813187
ID,2016,15,,0.0487137999999999,7.7751528
ID,2017,12,,0.0471943125,9.171709097457626
ID,2018,3,,0.04178909375,8.257078435643564
ID,2019,14,,0.0381489375,8.295937842975206
ID,2020,12,,0.0454635,8.309174741293532
ID,2021,16,,0.0482491666666666,8.70345
ID,2022,23,,0.0480323571428571,8.894536523809524
ID,2023,39,,0.0479854285714285,7.687639136363637
IL,2014,24,0.2326199999999999,0.0430001554054054,10.844605801223242
IL,2015,39,,0.0432266959459459,10.0291683078125
IL,2016,38,,0.0441179864864864,8.69299820300752
IL,2017,55,,0.0445954736842105,8.7051038025
IL,2018,61,,0.0438250067567567,9.297797717451523
IL,2019,77,,0.0433615067567567,9.084839986486486
IL,2020,116,,0.0415369358974359,8.779653405405405
IL,2021,249,,0.04341575,9.320956675373134
IL,2022,212,,0.0429881249999999,8.634098205930808
IL,2023,230,,0.04784828125,9.351649483588622
IN,2014,6,0.3704710833333333,0.0447173586956521,11.396153401384082
IN,2015,12,,0.0435112336956521,9.95010203618421
IN,2016,17,,0.0451948488372093,8.646717487712666
IN,2017,18,,0.0436559318181818,8.447391013916501
IN,2018,36,,0.0427473988095238,8.996615005484461
IN,2019,27,,0.0432368988095238,9.062584416826004
IN,2020,22,,0.0408856923076923,8.6248685267423
IN,2021,70,,0.0427069743589743,9.603700218411554
IN,2022,111,,0.0432001513157894,8.760881190293743
